question,intent,expected_action
"hello","greeting","greet_user"
"hi there","greeting","greet_user"
"good morning","greeting","greet_user"
"what phones are under rm2000","budget_query","filter_by_budget"
"show me phones within my budget of rm1500","budget_query","filter_by_budget"
"cheap phones","budget_query","filter_by_budget"
"phones between rm1000 and rm2000","budget_query","filter_by_budget"
"recommend a phone for me","recommendation","provide_recommendation"
"i need a new phone","recommendation","provide_recommendation"
"what phone should i buy","recommendation","provide_recommendation"
"help me find a phone","recommendation","provide_recommendation"
"compare samsung galaxy and iphone","comparison","compare_phones"
"which is better iphone or samsung","comparison","compare_phones"
"iphone 14 vs iphone 15","comparison","compare_phones"
"what are the specs","specification","show_specifications"
"tell me about camera quality","specification","show_specifications"
"how much ram does it have","specification","show_specifications"
"what's the battery capacity","specification","show_specifications"
"show me samsung phones","brand_query","filter_by_brand"
"do you have apple iphones","brand_query","filter_by_brand"
"xiaomi smartphones","brand_query","filter_by_brand"
"best phone for gaming","usage_type","filter_by_usage"
"i need a phone for photography","usage_type","filter_by_usage"
"phone for business use","usage_type","filter_by_usage"
"gaming smartphone","usage_type","filter_by_usage"
"phones with 5g","feature_query","filter_by_feature"
"does it have wireless charging","feature_query","check_feature"
"waterproof phones","feature_query","filter_by_feature"
"phones with good battery","feature_query","filter_by_feature"
"best camera phone","camera_query","filter_by_camera"
"phone with 108mp camera","camera_query","filter_by_camera"
"good selfie camera","camera_query","filter_by_camera"
"night mode photography","camera_query","filter_by_camera"
"help me","help","show_help"
"what can you do","help","show_help"
"how does this work","help","show_help"
"fastest phone","performance_query","filter_by_performance"
"best performance phone","performance_query","filter_by_performance"
"phones with snapdragon 8 gen 2","performance_query","filter_by_performance"
"flagship processor phones","performance_query","filter_by_performance"
"long battery life phone","battery_query","filter_by_battery"
"phones with 5000mah battery","battery_query","filter_by_battery"
"best battery backup","battery_query","filter_by_battery"
"fast charging phones","battery_query","filter_by_battery"
"phones with amoled display","display_query","filter_by_display"
"120hz refresh rate phones","display_query","filter_by_display"
"large screen phones","display_query","filter_by_display"
"best screen quality","display_query","filter_by_display"
"phones with 256gb storage","storage_query","filter_by_storage"
"expandable storage phones","storage_query","filter_by_storage"
"1tb storage phones","storage_query","filter_by_storage"
"phones with sd card slot","storage_query","filter_by_storage"
"i want a phone under rm1500 for gaming","budget_query,usage_type","filter_by_budget_and_usage"
"best samsung phone for photography","brand_query,camera_query","filter_by_brand_and_camera"
"affordable 5g phones","budget_query,feature_query","filter_by_budget_and_feature"
"flagship phones under rm4000","performance_query,budget_query","filter_by_performance_and_budget"
"phones with good camera and battery life","camera_query,battery_query","filter_by_camera_and_battery"
"samsung phones with 120hz display","brand_query,display_query","filter_by_brand_and_display"
"gaming phone with large battery","usage_type,battery_query","filter_by_usage_and_battery"
"iphone with best camera","brand_query,camera_query","filter_by_brand_and_camera"
"budget phone with 5g","budget_query,feature_query","filter_by_budget_and_feature"
"phone for photography under rm3000","usage_type,budget_query","filter_by_usage_and_budget"
"xiaomi phones with amoled display","brand_query,display_query","filter_by_brand_and_display"
"phones with snapdragon and 8gb ram","performance_query,specification","filter_by_performance_and_specs"
"best battery phone under rm2000","battery_query,budget_query","filter_by_battery_and_budget"
"5g phones with good camera","feature_query,camera_query","filter_by_feature_and_camera"
"lightweight phone with big screen","specification,display_query","filter_by_specs_and_display"
"waterproof phones for photography","feature_query,camera_query","filter_by_feature_and_camera"
"phones with fast charging under rm2500","battery_query,budget_query","filter_by_battery_and_budget"
"samsung or apple phones under rm5000","brand_query,budget_query","filter_by_brand_and_budget"
"phone with 256gb storage and good camera","storage_query,camera_query","filter_by_storage_and_camera"
"gaming phone with 120hz display","usage_type,display_query","filter_by_usage_and_display"
